PERIOD_BEGIN,REGION_TYPE,PROPERTY_TYPE,MEDIAN_SALE_PRICE,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS,HOMES_SOLD
2/1/2023,national,All Residential,399296.4611,2.418117884,40.59684195,0.160086129,436525.5653
3/1/2023,national,All Residential,400697.0021,2.378161385,41.40923107,0.156252429,434638.6235
4/1/2023,national,All Residential,399985.0289,2.286094499,41.5500753,0.145679943,428349.1893
5/1/2023,national,All Residential,404577.054,2.269179497,40.03804735,0.139687642,424467.8579
6/1/2023,national,All Residential,407801.0709,2.275279841,38.3720394,0.134844114,419634.498
7/1/2023,national,All Residential,412131.8439,2.258430528,36.89259634,0.133531712,422332.9644
8/1/2023,national,All Residential,416013.6708,2.32604842,35.44185525,0.142993849,421524.9634
9/1/2023,national,All Residential,412930.7759,2.442558403,34.79736138,0.1481454,416661.2618
10/1/2023,national,All Residential,414922.5743,2.630975712,35.03863135,0.158397601,405385.1601
11/1/2023,national,All Residential,414101.9152,2.760254517,35.75240883,0.172579095,404610.2531
12/1/2023,national,All Residential,413138.3766,2.855382003,37.12635888,0.166694958,401800.4605
1/1/2024,national,All Residential,419710.8548,2.762273771,37.67118346,0.159417426,420356.9474
2/1/2024,national,All Residential,423172.9899,2.504550727,37.94954262,0.164978319,428044.7219
3/1/2024,national,All Residential,422025.0086,2.766820935,38.56877232,0.167526174,424993.8556
4/1/2024,national,All Residential,425418.0316,2.779126393,39.41170011,0.173475217,426816.1807
5/1/2024,national,All Residential,425773.1919,2.885356942,40.05865427,0.172676591,421481.3634
6/1/2024,national,All Residential,426426.8839,2.969247245,41.66942026,0.168660542,417294.6544
7/1/2024,national,All Residential,430074.7197,2.933379912,42.69523454,0.1660344,420008.4126
8/1/2024,national,All Residential,429956.6053,3.001324413,42.86064699,0.159354867,415454.2965
9/1/2024,national,All Residential,429691.9487,3.100382293,42.17714064,0.159130823,413609.9837
10/1/2024,national,All Residential,433856.9833,3.061128095,42.08602666,0.153602088,422394.6336
11/1/2024,national,All Residential,434020.8393,3.069890001,42.33226174,0.154616466,432006.0936
12/1/2024,national,All Residential,435539.6415,3.103944578,42.52377504,0.16366234,438654.0978
1/1/2025,national,All Residential,435122.2788,3.292966075,43.05592189,0.178324468,428925.8165
2/1/2025,national,All Residential,435168.2104,3.300530955,43.55619198,0.189411624,425317.9984
3/1/2025,national,All Residential,433486.2045,3.436488514,44.42918365,0.19751514,423248.9733
4/1/2025,national,All Residential,432050.0617,3.518067438,45.51715736,0.202772634,419032.8752
5/1/2025,national,All Residential,430391.1708,3.492693461,47.40740739,0.207375128,417593.64
6/1/2025,national,All Residential,432302.4596,3.316556616,49.23447408,0.211021083,411841.3278
